*, KINSHIP PRIMARY/NULL RATIO [base 10 log]
*, Primary
*, Rm = 0.5  Rp = 0.5
*, Null
*, Rm = 0  Rp = 0
*, 1000000 simulated pairs used to perform significance test.
*, p<, log10, type II
*, *5%, -0.1468, 3.6%
*, ER, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, **, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, **, ns, ns, ns, ns, ns, ns, ns, ns, ***, ns, ns,  , ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns
*, FI, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ***, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, *, ns, ns, *, ns, ns, ns, ns, ns, ns, ns, ns,  , *, ns, ns, ns, ns, ns, *, ns, ns, ns, ns
*, FS, *, ns, ns, ns, ns, ns, ns, ns, ns, ns, *, ns, ns, ***, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ***, ns, ns, ns, ns, ns, *, ns, ns, ns, ns, *, ns, ns, ns, ns, ns, ns, ns, ns, *,  , ns, **, ns, ns, *, ns, ns, ns, ns, ns
*, GD-N, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, *, **, ns, **, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns,  , ns, ns, ns, **, ns, ns, ns, ns, ns
*, GL, ***, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, **, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, *, ns, ns, ns, ns, ***, ns, ns, ns, ns, ns, **, ns, *, ns, ns, *, *, ns, ns, ns, ns, ns, ns, ns, ns, **, ns,  , ns, ns, ns, ns, ns, ns, ns, ns
*, MO, ns, **, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns,  , ns, ns, ns, ns, ns, ns, ns
*, OL-N, ns, ns, ns, ns, ns, *, ns, ns, ns, *, ns, ns, ns, ns, **, ns, ns, *, ns, ns, *, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, **, ns, ns, *, *, ns, ns, ns, ns, ns, ns, ns,  , ns, ns, *, ns, ns, ns
*, PO, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, *, ns, ns, *, ns, ns, *, ns, ns, ns, **, ns, **, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, *, *, ns, ns, ns, ns, ns, ns, ns, ns, ns, *, **, ns, ns, ns,  , *, ns, ns, ns, ns
*, RN-M2, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, **, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, *, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, *, ns, ns, ns, ns, ns, *,  , ns, ns, ns, ns
*, RT-J, ns, ns, *, ns, ns, *, ns, ns, ns, *, ns, ns, ns, ns, ns, ns, ns, ns, ns, *, *, ns, ns, *, *, *, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, *, ns, ns, ns, ns, ns, ns, ns, *, ns, ns,  , ns, ns, ns
*, TO, ns, ns, ns, ns, ns, ns, ns, *, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, **, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ***, ns, ns, ns, ns, *, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns,  , ns, ns
*, VN-J, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, **, ns, ns, ns, ns, ns, ns, ns, *, ns, ns, ns, ns, *, *, ns, ns, ns, ns, ns, ns, ns, ns, **, ns, ns, ns, ns, ns, ns, ns, ns, **, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns,  , *
*, YN, ns, ns, ns, ***, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, *, ns, ns, ns, ns, ns, ns, ns, ns, *, ns, ns, ns, ns, ns, ns, ns, *, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, ns, *,  
